time(s),current(A)
0.0,3.628
0.1,6.0
0.2,6.0
0.3,6.0
0.4,6.0
0.5,6.0
0.6,5.528
0.7,5.233
0.8,2.339
0.9,0.458
1.0,-3.399
1.1,-2.872
1.2,-4.392
1.3,-6.0
1.4,-6.0
1.5,-5.375
1.6,-4.189
1.7,-1.009
1.8,0.441
1.9,2.082
2.0,3.722
2.1,5.641
2.2,6.0
2.3,5.326
2.4,5.172
2.5,5.079
2.6,2.832
2.7,1.536
2.8,0.175
2.9,-2.107
3.0,-2.957
3.1,-4.552
3.2,-4.72
3.3,-4.339
3.4,-4.81
3.5,-3.165
3.6,-2.411
3.7,-1.083
3.8,-0.169
3.9,1.301
4.0,1.527
4.1,1.855
4.2,2.471
4.3,2.842
4.4,2.651
4.5,2.568
4.6,2.074
4.7,1.867
4.8,1.241
4.9,2.277
5.0,2.887
5.1,2.0
5.2,1.615
5.3,1.31
5.4,-0.964
5.5,-0.408
5.6,-4.194
5.7,-4.012
5.8,-4.996
5.9,-2.526
6.0,-2.885
6.1,-0.999
6.2,2.486
6.3,3.34
6.4,4.999
6.5,6.0
6.6,6.0
6.7,6.0
6.8,6.0
6.9,6.0
7.0,3.169
7.1,-0.124
7.2,-2.709
7.3,-4.494
7.4,-6.0
7.5,-6.0
7.6,-6.0
7.7,-6.0
7.8,-6.0
7.9,-2.875
8.0,-0.238
8.1,3.399
8.2,6.0
8.3,6.0
8.4,6.0
8.5,6.0
8.6,6.0
8.7,5.172
8.8,2.564
8.9,-1.426
9.0,-3.434
9.1,-5.366
9.2,-6.0
9.3,-6.0
9.4,-5.916
9.5,-5.626
9.6,-2.571
9.7,-1.334
9.8,-0.274
9.9,1.172
10.0,2.216
10.1,3.824
10.2,3.263
10.3,3.095
10.4,4.706
10.5,2.634
10.6,4.115
10.7,5.162
10.8,4.254
10.9,4.688
11.0,4.47
11.1,2.517
11.2,1.636
11.3,-0.81
11.4,-3.098
11.5,-5.102
11.6,-5.566
11.7,-6.0
11.8,-5.13
11.9,-3.761
12.0,-1.535
12.1,2.111
12.2,6.0
12.3,6.0
12.4,6.0
12.5,6.0
12.6,6.0
12.7,5.763
12.8,1.768
12.9,-1.982
13.0,-3.574
13.1,-4.427
13.2,-6.0
13.3,-5.578
13.4,-4.901
13.5,-3.649
13.6,-1.935
13.7,-1.582
