Time, Current
0,0.015196
1,0.015196
2,0.015196
3,0.015196
4,0.015196
5,0.015196
6,0.015196
7,0.015196
8,0.015196
9,0.015196
10,0.015196
11,0.015196
12,0.015196
13,0.015196
14,0.015196
15,0.015196
16,0.015196
17,0.015196
18,0.015196
19,0.015196
20,0.015196
21,0.19115
22,0.55085
23,0.8325
24,1.2263
25,1.5216
26,1.71915
27,0.438235
28,0.726
29,2.13905
30,1.03525
31,0.8235
32,0.321255
33,-0.071115
34,-0.185735
35,-0.18098
36,-0.12168
37,-0.172095
38,-1.23395
39,-0.77285
40,0.152555
41,0.32767
42,0.33418
43,0.463995
44,0.8694
45,1.57755
46,1.75315
47,1.57525
48,0.41438
49,0.06388
50,0.150295
51,-0.59525
52,-1.08295
53,-0.77875
54,-0.44732
55,0.16174
56,1.39515
57,1.7066
58,1.64685
59,1.61185
60,1.1608
61,0.63365
62,0.54825
63,0.36131
64,-0.07667
65,0.16609
66,0.450125
67,0.358035
68,0.167815
69,0.166955
70,0.261055
71,0.74165
72,0.75755
73,0.372855
74,-0.010196
75,-0.144175
76,0.36131
77,0.65595
78,0.86745
79,0.278775
80,-0.009933
81,0.6756
82,0.8926
83,1.12615
84,1.49135
85,1.09675
86,0.8942
87,0.6774
88,0.68515
89,0.6929
90,0.34298
91,0.106425
92,0.22239
93,0.221335
94,0.45453
95,0.81175
96,-0.084295
97,-0.164085
98,-0.08364
99,0.6697
100,0.91085
101,0.8088
102,0.5811
103,0.465515
104,0.22772
105,-0.165745
106,-0.24388
107,0.445475
108,0.68
109,0.92425
110,0.9411
111,1.08075
112,0.85385
113,0.6148
114,0.118505
115,-0.16975
116,-2.24645
117,-2.1569
118,-1.8968
119,-1.63445
120,-1.37015
121,-1.1042
122,-0.83685
123,-0.5685
124,-0.299345
125,-0.0425165
126,0.015196
127,0.015196
128,0.015196
129,0.015196
130,0.015196
131,0.015196
132,0.015196
133,0.015196
134,0.015196
135,0.015196
136,0.015196
137,0.015196
138,0.015196
139,0.015196
140,0.015196
141,0.015196
142,0.015196
143,0.015196
144,0.015196
145,0.015196
146,0.015196
147,0.015196
148,0.015196
149,0.015196
150,0.015196
151,0.015196
152,0.015196
153,0.015196
154,0.015196
155,0.015196
156,0.015196
157,0.015196
158,0.015196
159,0.015196
160,0.015196
161,0.015196
162,0.015196
163,0.015196
164,0.23918
165,0.68725
166,1.13585
167,1.5854
168,2.0363
169,2.48905
170,2.15535
171,2.121
172,1.71065
173,0.8818
174,-0.286615
175,-0.212795
176,-0.076865
177,0.55065
178,0.460225
179,0.464285
180,0.66715
181,1.71085
182,-0.29427
183,-1.4865
184,-0.63205
185,-1.69025
186,-0.7016
187,-0.103485
188,0.7918
189,0.5413
190,1.23765
191,2.0035
192,2.30975
193,3.06425
194,3.8707
195,4.05
196,4.0206
197,1.99045
198,3.40635
199,2.33215
200,3.05715
201,2.8497
202,3.3007
203,2.1796
204,2.04915
205,1.90765
206,0.64865
207,0.282545
208,0.461695
209,0.278145
210,0.6375
211,0.6375
212,0.6375
213,0.6375
214,1.0013
215,1.00725
216,1.5665
217,1.7745
218,1.8021
219,1.4469
220,1.65535
221,1.8721
222,1.5058
223,1.72045
224,2.1448
225,2.7958
226,2.65095
227,1.8594
228,1.4577
229,1.0437
230,0.62205
231,0.1973
232,0.82345
233,1.2459
234,1.4654
235,1.6911
236,1.2773
237,1.7168
238,1.2985
239,1.524
240,1.09725
241,0.88135
242,0.44425
243,0.8757
244,0.8757
245,0.8757
246,0.8757
247,0.8757
248,0.65775
249,0.221295
250,0.216375
251,-0.439695
252,-0.14885
253,-0.0069325
254,0.394945
255,0.183625
256,0.59235
257,1.41955
258,1.0131
259,1.01615
260,0.8101
261,0.185115
262,-0.013112
263,-0.0160935
264,-0.019003
265,-0.161095
266,1.3636
267,-0.0232345
268,0.5552
269,0.353215
270,0.349745
271,0.94235
272,1.14505
273,1.3526
274,1.56615
275,1.7869
276,1.8094
277,1.83205
278,2.6997
279,1.8963
280,1.27375
281,1.7125
282,0.8617
283,0.43002
284,-0.292435
285,-0.439885
286,-0.7267
287,-1.0025
288,-0.8525
289,0.74325
290,0.74325
291,-0.0292855
292,-0.8394
293,0.5158
294,0.89995
295,0.5158
296,-0.038596
297,0.5058
298,0.69475
299,0.69475
300,-0.0414885
301,-0.173645
302,-0.17502
303,-0.68265
304,-0.92185
305,-0.9063
306,-1.0074
307,-0.9862
308,-0.85375
309,-0.9441
310,-1.54335
311,-1.18425
312,-1.4257
313,-1.0009
314,-0.87745
315,-0.5949
316,-0.496945
317,0.22345
318,-0.164425
319,-0.5537
320,-0.90775
321,-1.6772
322,-1.8572
323,-0.62005
324,-0.376375
325,-0.161335
326,-0.5771
327,-0.52825
328,-1.0127
329,-0.438575
330,-0.6266
331,-0.5033
332,-0.23402
333,-0.0066325
334,0.015196
335,0.015196
336,0.015196
337,0.015196
338,0.015196
339,0.015196
340,0.015196
341,0.015196
342,0.015196
343,0.015196
344,0.015196
345,0.015196
346,0.015196
347,0.03882
348,0.374935
349,0.8231
350,1.27195
351,1.72185
352,2.03845
353,2.12765
354,2.2629
355,1.30805
356,1.6686
357,1.67085
358,1.8728
359,2.4402
360,1.27295
361,1.30915
362,0.97165
363,1.2415
364,1.4006
365,1.57075
366,0.53435
367,0.80525
368,0.27263
369,0.007458
370,0.66825
371,1.489
372,1.1077
373,0.425325
374,0.425325
375,0.425325
376,0.425325
377,0.425325
378,0.5646
379,0.84715
380,0.57285
381,0.292875
382,-0.083435
383,-0.55605
384,-0.63595
385,-0.264435
386,-1.55025
387,-1.6885
388,-2.18825
389,-1.56395
390,-1.39285
391,-1.26735
392,-1.1581
393,-0.78195
394,-0.82875
395,-0.56035
396,-0.29118
397,-0.0371
398,0.015196
399,0.015196
400,0.015196
401,0.015196
402,0.015196
403,0.156655
404,0.5922
405,1.04065
406,1.48995
407,1.9405
408,2.3928
409,2.8473
410,2.61815
411,0.85315
412,2.2243
413,1.9367
414,1.4592
415,0.449085
416,0.218195
417,-0.00446395
418,-0.083465
419,-0.160215
420,-0.38414
421,-1.91035
422,-1.87305
423,-1.6105
424,-1.34605
425,-1.07995
426,-0.8125
427,-0.54405
428,-0.27485
429,-0.027065
430,0.015196
431,0.015196
432,0.015196
433,0.015196
434,0.015196
435,0.015196
436,0.015196
437,0.015196
438,0.015196
439,0.015196
440,0.015196
441,0.015196
442,0.015196
443,0.015196
444,0.015196
445,0.015196
446,0.015196
447,0.015196
448,0.22779
449,0.68725
450,1.13585
451,1.5854
452,2.0363
453,2.48905
454,2.944
455,3.4017
456,1.75095
457,1.7323
458,3.131
459,2.22415
460,1.1494
461,1.9724
462,0.8108
463,1.09345
464,1.11125
465,0.28771
466,0.5646
467,0.56665
468,0.149705
469,0.0114525
470,0.8359
471,0.425325
472,-0.083795
473,0.28135
474,0.28009
475,0.142635
476,0.412155
477,0.412155
478,0.412155
479,0.412155
480,0.412155
481,0.14091
482,0.54435
483,0.54635
484,0.8219
485,0.009736
486,0.14091
487,0.408905
488,0.408905
489,0.1392
490,0.13751
491,0.268955
492,-0.62665
493,-1.04185
494,-1.32175
495,-1.395
496,-1.5726
497,-1.73315
498,-1.361
499,-1.45845
500,-1.193
501,-0.81735
502,-0.6522
503,-0.42725
504,-0.169145
505,0.0049249
506,0.015196
507,0.015196
508,0.015196
509,0.015196
510,0.015196
511,0.04402
512,0.243785
513,0.401075
514,0.29905
515,0.6588
516,0.478935
517,0.45324
518,0.71925
519,1.1789
520,1.30705
521,1.2739
522,1.10565
523,1.0284
524,0.92385
525,1.0502
526,1.1003
527,0.96575
528,0.90515
529,0.642
530,0.36131
531,0.26606
532,0.26606
533,0.26606
534,0.26606
535,0.26606
536,0.85315
537,0.47244
538,0.47654
539,-0.07853
540,-0.077815
541,0.07441
542,0.26606
543,0.26606
544,-0.20774
545,-0.6425
546,-1.72215
547,-1.45845
548,-1.193
549,-0.9261
550,-0.65805
551,-0.38912
552,-0.11965
553,0.015196
554,0.015196
555,0.015196
556,0.015196
557,0.015196
558,0.015196
559,0.015196
560,0.015196
561,0.015196
562,0.015196
563,0.015196
564,0.015196
565,0.015196
566,0.015196
567,0.015196
568,0.015196
569,0.22779
570,0.68725
571,1.13585
572,1.48365
573,0.99055
574,0.9802
575,0.80335
576,0.17422
577,0.17422
578,0.50845
579,0.315895
580,0.18164
581,0.0452555
582,-0.102295
583,0.108535
584,-0.0102385
585,0.43047
586,0.240295
587,0.1092
588,-0.054935
589,0.10588
590,0.168985
591,0.233135
592,0.43047
593,0.57645
594,0.8099
595,0.7013
596,0.9607
597,0.847
598,0.29958
599,0.30111
600,0.5517
601,0.5625
602,0.5733
603,0.321255
604,0.235565
605,0.235565
606,0.410465
607,1.13555
608,1.57135
609,1.15665
610,0.78635
611,0.80245
612,-0.432505
613,-1.96005
614,-1.69825
615,-1.4344
616,-1.1688
617,-0.90175
618,-0.6336
619,-0.36464
620,-0.095425
621,0.015196
622,0.015196
623,0.015196
624,0.015196
625,0.015196
626,0.015196
627,0.015196
628,0.015196
629,0.015196
630,0.015196
631,0.015196
632,0.015196
633,0.015196
634,0.015196
635,0.015196
636,0.015196
637,0.015196
638,0.015196
639,0.015196
640,0.015196
641,0.015196
642,0.015196
643,0.015196
644,0.015196
645,0.015196
646,0.09402
647,0.35636
648,0.8503
649,0.92635
650,1.1216
651,0.90035
652,0.8823
653,1.5551
654,1.6883
655,1.30255
656,1.22125
657,1.2003
658,1.3546
659,1.0303
660,0.56515
661,0.67275
662,0.37952
663,0.381195
664,0.28136
665,0.48477
666,0.386235
667,0.285255
668,-0.14905
669,-0.146865
670,-1.0547
671,-1.1479
672,-1.3904
673,-0.84565
674,-0.66635
675,-0.9088
676,-0.70455
677,-0.499495
678,-0.240955
679,-0.077835
680,-0.0319495
681,0.015196
682,0.015196
683,0.015196
684,0.015196
685,0.015196
686,0.015196
687,0.015196
688,0.015196
689,0.015196
690,0.015196
691,0.015196
692,0.015196
693,0.015196
694,0.05421
695,0.20762
696,0.212
697,0.5036
698,0.90025
699,0.9351
700,1.17685
701,0.7383
702,1.23135
703,0.360385
704,0.042392
705,0.168985
706,1.31185
707,0.91125
708,0.88265
709,1.3351
710,1.07525
711,0.235565
712,-0.071115
713,0.75095
714,0.7719
715,0.426195
716,-0.43953
717,-0.363495
718,-0.45951
719,-1.13725
720,-1.19435
721,-0.9763
722,-0.75715
723,-0.50405
724,-0.19407
725,-0.111625
726,-0.030373
727,-0.0322565
728,0.019581
729,0.22362
730,0.6737
731,1.0467
732,1.3472
733,0.90035
734,1.30705
735,1.48135
736,1.3498
737,1.7138
738,1.60455
739,1.5317
740,1.22675
741,1.27785
742,0.90705
743,0.8219
744,0.62165
745,0.7384
746,0.6392
747,0.31335
748,-0.0068085
749,0.200025
750,0.0906
751,-0.15526
752,-0.297105
753,-0.70445
754,-1.1177
755,-1.0283
756,-1.1959
757,-1.0489
758,-0.552
759,-0.77235
760,-0.8192
761,-0.60065
762,-0.348325
763,-0.06093
764,0.028357
765,-0.0053445
766,0.013386
767,0.19115
768,0.6465
769,1.09505
770,1.54445
771,1.74715
772,1.25875
773,0.80535
774,0.99645
775,1.13505
776,1.2889
777,1.27905
778,1.922
779,1.7598
780,1.32925
781,0.8349
782,0.6317
783,0.97265
784,0.31749
785,0.31749
786,0.205955
787,-0.006503
788,0.09238
789,0.309245
790,0.309245
791,0.200025
792,-0.229975
793,0.193265
794,0.29845
795,0.29845
796,0.29845
797,0.29845
798,0.29845
799,0.404975
800,0.72975
801,0.85125
802,2.00805
803,1.5118
804,1.56475
805,1.6181
806,0.377325
807,1.1494
808,0.90905
809,0.7888
810,0.265315
811,0.13254
812,0.39291
813,0.26172
814,0.0047385
815,-0.173555
816,0.251145
817,-0.17199
818,-0.17061
819,0.23866
820,-0.00048939
821,0.23424
822,-0.496945
823,-0.24508
824,0.217155
825,0.331505
826,0.331505
827,0.331505
828,-0.0046475
829,0.21303
830,0.325855
831,0.09855
832,-0.08309
833,-0.310055
834,-0.156045
835,-0.298985
836,-0.8465
837,-0.99145
838,-0.86185
839,-0.68965
840,-0.53935
841,0.197895
842,0.88265
843,0.8428
844,0.6263
845,0.7266
846,0.74745
847,0.7684
848,0.97435
849,1.20135
850,1.2523
851,0.889
852,0.28656
853,0.493055
854,0.497215
855,0.5014
856,0.93245
857,0.62665
858,1.07645
859,0.42764
860,0.429405
861,0.43118
862,0.20796
863,-0.461755
864,-0.229315
865,-0.153245
866,-0.6407
867,-0.34778
868,-0.14234
869,0.54585
870,0.55305
871,0.65875
872,0.470395
873,0.7767
874,1.00005
875,0.92155
876,0.61915
877,0.9543
878,0.97635
879,0.54385
880,0.208965
881,0.20796
882,0.206955
883,-0.082675
884,-0.08222
885,0.198075
886,0.30517
887,-0.081595
888,-0.081055
889,-0.223275
890,0.7011
891,0.81865
892,0.61915
893,0.5182
894,0.089425
895,0.5182
896,0.30517
897,0.30517
898,-0.007668
899,-0.008066
900,-0.152835
901,-0.009026
902,0.18389
903,0.285255
904,0.285255
905,0.08107
906,0.18114
907,0.28136
908,-0.009747
909,-0.010023
910,0.27365
911,0.5724
912,0.17752
913,-0.0101105
914,-0.40997
915,-0.5225
916,-0.61895
917,-0.18652
918,0.225015
919,0.308805
920,0.9976
921,0.94865
922,0.79645
923,0.440105
924,0.444105
925,0.7353
926,0.4582
927,0.36459
928,0.36624
929,0.46632
930,-0.0103605
931,0.07441
932,0.26606
933,0.26606
934,-0.010735
935,0.07199
936,0.07104
937,0.257335
938,0.44611
939,0.7385
940,0.26606
941,-0.07667
942,0.261055
943,-0.14047
944,0.63085
945,0.83535
946,0.75755
947,-0.14508
948,-0.5328
949,-1.05075
950,-0.90705
951,-1.43735
952,-1.22525
953,-0.9585
954,-0.6906
955,-0.42175
956,-0.152335
957,0.01428
958,0.015196
959,0.015196
960,0.09402
961,0.5107
962,0.95905
963,1.40815
964,1.85845
965,1.6132
966,0.94865
967,1.23765
968,1.08185
969,0.9699
970,1.1003
971,1.6197
972,2.02805
973,1.53085
974,0.94335
975,0.6342
976,0.420605
977,0.31198
978,0.31198
979,-0.3806
980,0.087695
981,-0.0083195
982,-0.08048
983,-0.0091355
984,-0.14905
985,-0.009933
986,-0.14553
987,-0.5992
988,-1.05075
989,-0.127535
990,0.223855
991,0.47523
992,0.82735
993,0.6757
994,0.064305
995,0.23913
996,0.416345
997,-0.011718
998,0.23794
999,0.23794
1000,0.95295
1001,0.70695
1002,0.81765
1003,0.45214
1004,0.55305
1005,0.65875
1006,0.371195
1007,0.174835
1008,-0.14463
1009,-0.40235
1010,-0.074815
1011,-0.13614
1012,-0.0116555
1013,-0.072085
1014,-0.130125
1015,-0.06986
1016,-0.45951
1017,-1.37505
1018,-1.2736
1019,-1.0071
1020,-0.73935
1021,-0.470685
1022,-0.20135
1023,0.0049249
1024,0.015196
1025,0.015196
1026,0.015196
1027,0.015196
1028,0.015196
1029,0.015196
1030,0.015196
1031,0.015196
1032,0.015196
1033,0.015196
1034,0.015196
1035,0.015196
1036,0.015196
1037,0.015196
1038,0.015196
1039,0.015196
1040,0.015196
1041,0.015196
1042,0.015196
1043,0.015196
