time,current
0,0.0064295
1,0.0064295
2,0.0064295
3,0.0064295
4,0.0064295
5,0.0064295
6,0.006834
7,0.011762
8,0.01563
9,0.025301
10,0.290245
11,1.32335
12,1.9212
13,2.05605
14,-0.118385
15,1.5977
16,2.067
17,1.41295
18,1.27445
19,1.34655
20,1.1572
21,1.7518
22,1.35165
23,0.5285
24,-0.224995
25,-0.22255
26,-0.91595
27,-0.3456
28,-0.208155
29,0.197395
30,0.7047
31,-0.0336415
32,0.20041
33,-0.83825
34,-1.5047
35,-1.4829
36,-1.40695
37,-1.05145
38,-0.8943
39,-0.52575
40,-0.16577
41,-0.00013619
42,0.0064295
43,0.0064295
44,0.0064295
45,0.0064295
46,0.0064295
47,0.0064295
48,0.0064295
49,0.013123
50,0.70875
51,1.1702
52,0.96015
53,1.40255
54,2.1191
55,2.13715
56,1.4287
57,2.1379
58,2.4831
59,2.4331
60,1.9394
61,1.2605
62,1.78255
63,1.6924
64,1.84345
65,1.5588
66,1.42435
67,1.0918
68,0.09363
69,0.457505
70,0.0026701
71,-0.186035
72,-0.186125
73,0.168705
74,0.5213
75,0.168705
76,-0.186095
77,-0.482825
78,0.06737
79,0.234895
80,0.233995
81,0.40236
82,0.403585
83,0.7466
84,1.1037
85,1.66195
86,2.0854
87,2.26255
88,2.15415
89,2.1284
90,2.4078
91,2.6014
92,2.2517
93,2.3179
94,1.69205
95,0.79675
96,0.68515
97,0.11067
98,-1.2504
99,-0.92425
100,-0.83635
101,-0.53685
102,-0.5325
103,-0.73505
104,-0.85785
105,-0.7754
106,-0.82365
107,-0.6822
108,-0.7883
109,-0.71095
110,-0.74985
111,-0.621
112,-0.71065
113,-0.98945
114,-1.22475
115,-0.8855
116,-0.335
117,-0.327035
118,-0.398945
119,-1.8338
120,-1.62405
121,-1.07355
122,-0.7986
123,-0.65375
124,-0.404185
125,-0.14704
126,-0.0195715
127,-0.0060505
128,-0.00013619
129,0.0064295
130,0.0064295
131,0.0064295
132,0.0064295
133,0.0064295
134,0.0064295
135,0.0064295
136,0.066835
137,0.6582
138,1.4753
139,2.16725
140,2.86025
141,2.7276
142,2.91185
143,3.00755
144,1.8933
145,1.38275
146,1.1972
147,1.474
