Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa),Current (A)
0.0,4.0341674269901056,29866.0,-5.942940940055923,5.0
1.0,4.034167198486402,29865.99689272793,57.24473587976866,5.0
2.0,4.02811331657314,29803.165809957733,1.2353112546750065e6,5.0
3.0,4.022671994568541,29769.514105530703,1.8245348847869507e6,5.0
4.0,4.0178413946056475,29744.034145795322,2.23297604592163e6,5.0
5.0,4.013520859293505,29722.47378510202,2.554792546311378e6,5.0
6.0,4.009618971816871,29703.33405278787,2.823195863738598e6,5.0
7.0,4.006069662266324,29685.884704411004,3.0543765192280784e6,5.0
8.0,4.002818808818899,29669.70366703161,3.2576984543474102e6,5.0
9.0,3.999824693768851,29654.52048618882,3.439164984668439e6,5.0
10.0,3.9970510632966363,29640.149128064437,3.6029064943182003e6,5.0
11.0,3.9944696938262823,29626.45500470119,3.7519111686585746e6,5.0
12.0,3.9920556159014207,29613.336919512643,3.888425319234537e6,5.0
13.0,3.989789573835553,29600.716483476644,4.014188324358333e6,5.0
14.0,3.9876541120797935,29588.5314681937,4.1305802067452343e6,5.0
15.0,3.9856358906042635,29576.73149808321,4.238717405217767e6,5.0
16.0,3.983722424195332,29565.27508818057,4.339518595338921e6,5.0
17.0,3.9819042777765183,29554.12759899684,4.433750207087936e6,5.0
18.0,3.9801722912368565,29543.259735746055,4.5220597828092165e6,5.0
19.0,3.9785196408677295,29532.646467773826,4.605000045625599e6,5.0
20.0,3.9769394295891876,29522.266193287323,4.683047461277127e6,5.0
21.0,3.9754266078978238,29512.100122226286,4.756615992406569e6,5.0
22.0,3.973975848572365,29502.131776740654,4.826068191852426e6,5.0
23.0,3.972583328558398,29492.346617396648,4.891723538751109e6,5.0
24.0,3.9712448320651736,29482.731727096394,4.953865451200482e6,5.0
25.0,3.969957399573608,29473.275573978644,5.01274657785447e6,5.0
26.0,3.96871761903193,29463.96780210255,5.068593436664605e6,5.0
27.0,3.9675231506655013,29454.799075335723,5.121609902398538e6,5.0
28.0,3.9663711762941265,29445.76093342087,5.171980392633142e6,5.0
29.0,3.9652598096612186,29436.84568597378,5.219872238849436e6,5.0
30.0,3.9641866808309056,29428.04631030222,5.265437945536305e6,5.0
31.0,3.9631502419412667,29419.356377550823,5.308816844902573e6,5.0
32.0,3.9621484684173303,29410.769978137283,5.350136743445298e6,5.0
33.0,3.9611800697233543,29402.281669160864,5.389515102624426e6,5.0
34.0,3.9602432926052535,29393.886418666963,5.4270602682041e6,5.0
35.0,3.959337045803009,29385.5795674927,5.462872328882297e6,5.0
36.0,3.958459793088363,29377.356786711935,5.49704405380128e6,5.0
37.0,3.957610600189022,29369.214049506536,5.529661527343114e6,5.0
38.0,3.956788107341044,29361.147598056927,5.5608048776711775e6,5.0
39.0,3.9559915059232957,29353.1539225139,5.590548752807169e6,5.0
40.0,3.9552195817809923,29345.229734801833,5.618962896349085e6,5.0
41.0,3.9544716283299066,29337.371952707534,5.646112509002402e6,5.0
42.0,3.9537465531434526,29329.577678839225,5.672058710386761e6,5.0
43.0,3.9530437335882675,29321.844188460655,5.696858816577926e6,5.0
44.0,3.9523621801801023,29314.168912362176,5.720566715537298e6,5.0
45.0,3.95170134016862,29306.54942747481,5.743233082180438e6,5.0
46.0,3.9510603120103673,29298.98344275652,5.764905687270927e6,5.0
47.0,3.9504386017355744,29291.46879189593,5.785629565419089e6,5.0
48.0,3.9498353835943996,29284.003421555848,5.8054472719880305e6,5.0
49.0,3.94925021352074,29276.58538566607,5.824399015202753e6,5.0
50.0,3.948682331605335,29269.21283553358,5.842522871912387e6,5.0
51.0,3.9481313364852952,29261.884015356485,5.859854892041607e6,5.0
52.0,3.947596525843781,29254.597253830023,5.876429281401241e6,5.0
53.0,3.9470775351348326,29247.35096060737,5.89227848462758e6,5.0
54.0,3.946573712727284,29240.14361911728,5.907433341318665e6,5.0
55.0,3.9460847260204215,29232.97378376539,5.921923152093202e6,5.0
56.0,3.945609968241219,29225.840073742464,5.9357758129315395e6,5.0
56.99999999999999,3.945149134669727,29218.741170809142,5.949017867889076e6,5.0
57.999999999999986,3.944701658436903,29211.675813921298,5.961674625472949e6,5.0
58.99999999999998,3.9442672592877757,29204.642797477347,5.973770200729968e6,5.0
59.99999999999997,3.943845406020288,29197.640966623003,5.985327616700227e6,5.0
60.99999999999997,3.943435839957033,29190.66921586725,5.996368838004136e6,5.0
61.999999999999964,3.943038061921904,29183.726484956038,6.006914859806942e6,5.0
62.99999999999996,3.9426518323638238,29176.81175778369,6.0169857345637325e6,5.0
63.99999999999995,3.9422766809927516,29169.924058745906,6.026600650472017e6,5.0
64.99999999999994,3.94191238529754,29163.062451888887,6.035777952687339e6,5.0
65.99999999999994,3.9415585011605145,29156.226037668795,6.044535212868834e6,5.0
66.99999999999993,3.9412148213331077,29149.41395229262,6.052889245913182e6,5.0
67.99999999999993,3.940880925522432,29142.625364824402,6.060856171909026e6,5.0
68.99999999999991,3.9405566202302724,29135.859476681115,6.068451429226977e6,5.0
69.99999999999991,3.940241506958364,29129.11551903619,6.07568982997551e6,5.0
70.99999999999991,3.93993540467612,29122.39275244115,6.082585570117454e6,5.0
71.9999999999999,3.939637934926996,29115.690464485302,6.08915227933044e6,5.0
72.9999999999999,3.939348928065646,29109.00796951956,6.095403028696827e6,5.0
73.99999999999989,3.939068024167671,29102.344606537845,6.101350375725129e6,5.0
74.99999999999989,3.93879506406597,29095.69973898419,6.107006370048609e6,5.0
75.99999999999987,3.93852970507246,29089.072752826993,6.1123825942478925e6,5.0
76.99999999999987,3.938271797744827,29082.463056433862,6.117490167914811e6,5.0
77.99999999999987,3.9380210155248356,29075.87007881454,6.122339784809337e6,5.0
78.99999999999986,3.9377772180706723,29069.293269550984,6.126941715581482e6,5.0
79.99999999999986,3.937540094006312,29062.73209718823,6.131305841716968e6,5.0
80.99999999999984,3.9373095115924577,29056.18604920961,6.135441657155377e6,5.0
81.99999999999984,3.9370851738270383,29049.654630558187,6.139358299407198e6,5.0
82.99999999999983,3.9368669571587542,29043.13736364858,6.143064550266397e6,5.0
83.99999999999983,3.9366545782728535,29036.633787004146,6.146568864425988e6,5.0
84.99999999999983,3.936447921472232,29030.143455298632,6.1498793694484625e6,5.0
85.99999999999982,3.936246716536227,29023.66593809617,6.153003892160332e6,5.0
86.99999999999982,3.9360508553473177,29017.200819917427,6.155949958008809e6,5.0
87.9999999999998,3.935860080260412,29010.747699071162,6.158724815483806e6,5.0
88.9999999999998,3.935674290504479,29004.30618774032,6.161335434968397e6,5.0
89.99999999999979,3.9354932405468266,28997.87591089572,6.163788531397046e6,5.0
90.99999999999979,3.9353168367552067,28991.456506398205,6.166090562692111e6,5.0
91.99999999999979,3.93514484528343,28985.047623986233,6.1682477508377535e6,5.0
92.99999999999977,3.9349771794412285,28978.648925390862,6.170266079981266e6,5.0
93.99999999999977,3.9348136166648073,28972.26008339005,6.1721513160808105e6,5.0
94.99999999999976,3.934654077007749,28965.880781933894,6.173909004732686e6,5.0
95.99999999999976,3.9344983487934573,28959.51071525921,6.175544489533481e6,5.0
96.99999999999974,3.9343463586103367,28953.1495880229,6.177062909686202e6,5.0
97.99999999999974,3.9341979052729505,28946.79711447113,6.178469217198879e6,5.0
98.99999999999974,3.934052921678065,28940.45301857904,6.179768174314103e6,5.0
99.99999999999973,3.93391121672799,28934.117033269602,6.1809643696503015e6,5.0
100.99999999999973,3.9337727293803315,28927.788900558073,6.182062215494095e6,5.0
101.99999999999972,3.9336372782108295,28921.468370816117,6.183065962979719e6,5.0
102.99999999999972,3.933504807968702,28915.155202919756,6.183979699272305e6,5.0
103.9999999999997,3.933375146477197,28908.84916355489,6.184807361870948e6,5.0
104.9999999999997,3.933248243987754,28902.550027367495,6.185552735712588e6,5.0
105.9999999999997,3.933123937135241,28896.257576307125,6.186219466671699e6,5.0
106.99999999999969,3.9330021813671188,28889.97159977857,6.186811058603732e6,5.0
107.99999999999969,3.9328828216872895,28883.691894020143,6.187330886109461e6,5.0
108.99999999999967,3.932765818421004,28877.41826225594,6.187782191539724e6,5.0
109.99999999999967,3.932651024496014,28871.150514106295,6.188168097079076e6,5.0
110.99999999999966,3.932538404790328,28864.88846573997,6.188491601728455e6,5.0
111.99999999999966,3.93242781971251,28858.631939314306,6.188755592760353e6,5.0
112.99999999999966,3.9323192383667434,28852.380763126886,6.188962842690314e6,5.0
113.99999999999966,3.932212528206133,28846.134771083074,6.189116020154607e6,5.0
114.99999999999967,3.9321076622378093,28839.893802846804,6.189217686877581e6,5.0
115.99999999999967,3.9320045145339875,28833.65770333363,6.189270308009943e6,5.0
116.99999999999967,3.9319030616891806,28827.426322860214,6.189276249106308e6,5.0
117.99999999999969,3.931803183983587,28821.19951666119,6.18923778595904e6,5.0
118.99999999999969,3.931704861294635,28814.977145037148,6.189157101587603e6,5.0
119.9999999999997,3.931607979716359,28808.75907289366,6.189036295607069e6,5.0
120.9999999999997,3.931512522118345,28802.545169887613,6.188877381234495e6,5.0
121.99999999999972,3.931418380033138,28796.335309987004,6.188682294217508e6,5.0
122.99999999999972,3.931325539047261,28790.129371615574,6.188452889861611e6,5.0
123.99999999999973,3.9312338957764448,28783.92723723205,6.188190951549952e6,5.0
124.99999999999973,3.931143438265549,28777.728793472874,6.187898187792874e6,5.0
125.99999999999974,3.9310540678787627,28771.53393074995,6.187576240360707e6,5.0
126.99999999999974,3.9309657748778206,28765.342543391358,6.187226681360514e6,5.0
127.99999999999974,3.9308784650612685,28759.154529256448,6.18685102100357e6,5.0
128.99999999999974,3.9307921306834848,28752.969789874744,6.186450704709727e6,5.0
129.99999999999977,3.930706681683726,28746.78823007727,6.186027120531404e6,5.0
130.99999999999977,3.93062211210172,28740.609758133556,6.185581596287594e6,5.0
131.99999999999977,3.930538335743554,28734.43428539854,6.185115406661726e6,5.0
132.99999999999977,3.9304553482435844,28728.261726447672,6.184629770364341e6,5.0
133.9999999999998,3.9303730670199686,28722.09199873844,6.184125856925187e6,5.0
134.9999999999998,3.930291489126837,28715.92502274356,6.183604783887162e6,5.0
135.9999999999998,3.9302105353579555,28709.760721626568,6.183067623304855e6,5.0
136.9999999999998,3.9301302040274377,28703.59902137304,6.182515398970758e6,5.0
137.9999999999998,3.9300504190855916,28697.439850479503,6.181949092637585e6,5.0
138.99999999999983,3.9299711799610857,28691.283140082793,6.181369641275848e6,5.0
139.99999999999983,3.9298924135581728,28685.128823661544,6.180777943034806e6,5.0
140.99999999999983,3.9298141202880887,28678.976837163733,6.180174854531875e6,5.0
141.99999999999983,3.9297362298219056,28672.827118720215,6.179561196564007e6,5.0
142.99999999999986,3.929658743434078,28666.679608770402,6.178937751431559e6,5.0
143.99999999999986,3.929581593389901,28660.534249787273,6.178305268411838e6,5.0
144.99999999999986,3.929504781719509,28654.39098640129,6.177664461116518e6,5.0
145.99999999999986,3.929428243123387,28648.249765136232,6.177016012740698e6,5.0
146.9999999999999,3.9293519802906824,28642.11053453136,6.176360573454865e6,5.0
147.9999999999999,3.9292759302107094,28635.973244887708,6.175698765439404e6,5.0
148.9999999999999,3.9292000961451015,28629.837848388433,6.175031180310035e6,5.0
149.9999999999999,3.929124417237368,28623.704298855027,6.174358383950566e6,5.0
150.9999999999999,3.9290488972443955,28617.572551865956,6.17368091397262e6,5.0
151.99999999999991,3.928973477340137,28611.442564522236,6.172999284355842e6,5.0
152.99999999999991,3.9288981617080148,28605.31429556444,6.172313982940361e6,5.0
153.99999999999991,3.928822893438769,28599.18770514726,6.171625475886004e6,5.0
154.99999999999991,3.928747677081483,28593.062754954783,6.170934205197847e6,5.0
155.99999999999994,3.928672457539282,28586.93940798369,6.170240593012088e6,5.0
156.99999999999994,3.928597239673165,28580.81762865674,6.169545039157509e6,5.0
157.99999999999994,3.9285219701028513,28574.69738261429,6.168847925272754e6,5.0
158.99999999999994,3.928446653954025,28568.578636826,6.168149612406647e6,5.0
159.99999999999994,3.928371239475032,28562.461359390254,6.167450444974177e6,5.0
160.99999999999997,3.9282957320150613,28556.345519644135,6.166750748395362e6,5.0
161.99999999999997,3.928220081370422,28550.231087970267,6.166050832900374e6,5.0
162.99999999999997,3.9281442930779056,28544.118035905176,6.165350991204485e6,5.0
163.99999999999997,3.9280683184079264,28538.00633595334,6.164651502167647e6,5.0
165.0,3.9279921630539762,28531.89596169373,6.163952628508517e6,5.0
166.0,3.9279157796928206,28525.786887600727,6.163254620328108e6,5.0
167.0,3.927839174148344,28519.679089149016,6.162557712857862e6,5.0
168.0,3.9277623004415734,28513.572542640977,6.16186212985541e6,5.0
169.0,3.9276851645045903,28507.467225309945,6.161168081388325e6,5.0
170.0,3.92760772164599,28501.363115153807,6.160475767105753e6,5.0
171.0,3.927529977887558,28495.260191036556,6.159785374060848e6,5.0
172.0,3.927451889773668,28489.158432527875,6.15909707986243e6,5.0
173.0,3.927373463400745,28483.057820002967,6.158411050536279e6,5.0
174.0,3.9272946565017004,28476.958334487936,6.157727443561191e6,5.0
175.0,3.927215475235747,28470.85995775785,6.157046405770118e6,5.0
176.0,3.9271358784812382,28464.762672187553,6.156368076278794e6,5.0
177.0,3.9270558724512026,28458.6664608481,6.1556925844222065e6,5.0
178.0,3.926975417130232,28452.571307362756,6.155020052581499e6,5.0
179.0,3.9268945187788358,28446.477196001833,6.154350594157021e6,5.0
180.0,3.9268131384522444,28440.38411154354,6.153684316299184e6,5.0
