Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (c/c_max),Average Concentration (sP2D) (c/c_max),First Position Concentration (P2D) (c/c_max),First Position Concentration (sP2D) (c/c_max),Concentration Error (c/c_max),average Concentration Error (c/c_max),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (σ/E),Negative Stress (sP2D) (σ/E),Negative Stress Error (σ/E),average Negative Stress Error (σ/E),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (σ/E),Positive Stress (sP2D) (σ/E),Positive Stress Error (σ/E),average Positive Stress Error (σ/E),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
0.0,4.174576656927865,4.174841662464803,0.00026500553693775686,0.00827824680432259,0.006348081703038566,0.21228580352729162,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.0,0.0004782413234142644,0.0,0.05983579227568604,-3.961960626703949e-10,-3.961960626703949e-10,0.0,0.00012526121357467443,-0.0,70.97571353421924,4.644398249759261e-11,4.644398249759261e-11,0.0,5.011435910590469e-5,0.0,28.811528674190974,0.136764
1.0,4.174576649808142,4.174841655598763,0.00026500579062105345,0.00827824680432259,0.006348087790728021,0.21228580352729162,0.9013973954850744,0.9013973954846183,0.9013973955767178,0.9013973955783035,-4.560796185160143e-13,0.0004782413234142644,-5.059695321957098e-11,0.05983579227568604,-2.591555147107162e-10,-2.590346445668913e-10,-1.2087014382493694e-13,0.00012526121357467443,0.04664000453930487,70.97571353421924,8.456674154262577e-11,9.5928726975553e-11,1.1361985432927219e-11,5.011435910590469e-5,13.435524682241923,28.811528674190974,0.136764
2.0,4.17439021718239,4.174616534999022,0.0002263178166321822,0.00827824680432259,0.005421577879821238,0.21228580352729162,0.9013391782996262,0.9013391690826147,0.9013410314878028,0.9013410635561245,-9.217011487372417e-9,0.0004782413234142644,-1.0225907970360596e-6,0.05983579227568604,2.6787428648306225e-6,2.6811057840358653e-6,2.362919205242889e-9,0.00012526121357467443,0.08821000463559973,70.97571353421924,9.945997816128647e-7,1.2910118710816393e-6,2.9641208946877466e-7,5.011435910590469e-5,29.802147049349475,28.811528674190974,0.136764
3.0,4.174223780735508,4.174436784772732,0.00021300403722435135,0.00827824680432259,0.005102841831513392,0.21228580352729162,0.9013079691442113,0.90130795270214,0.9013108225306954,0.9013109748853558,-1.644207126005881e-8,0.0004782413234142644,-1.8242456322305124e-6,0.05983579227568604,3.960704345707483e-6,3.970388839575972e-6,9.684493868489626e-9,0.00012526121357467443,0.24451443539292325,70.97571353421924,1.8552231892508179e-6,2.380222949706816e-6,5.249997604559983e-7,5.011435910590469e-5,28.298469073578442,28.811528674190974,0.136764
4.0,4.174073917270464,4.174280760273492,0.00020684300302775682,0.00827824680432259,0.00495542261894147,0.21228580352729162,0.9012842884848734,0.901284264257459,0.9012879197185426,0.9012883063096989,-2.4227414407995695e-8,0.0004782413234142644,-2.6880990512686956e-6,0.05983579227568604,4.85691532251576e-6,4.879444235115096e-6,2.2528912599336004e-8,0.00012526121357467443,0.46385228284495994,70.97571353421924,2.595302854330866e-6,3.252733394970175e-6,6.574305406393092e-7,5.011435910590469e-5,25.331553870186426,28.811528674190974,0.136764
5.0,4.173937641812424,4.174141824285349,0.00020418247292486313,0.00827824680432259,0.00489184291781135,0.21228580352729162,0.9012642099210316,0.9012641794242007,0.901268525112048,0.9012691577901583,-3.049683094946687e-8,0.0004782413234142644,-3.383783646766467e-6,0.05983579227568604,5.569009532310003e-6,5.60313525495572e-6,3.4125722645717086e-8,0.00012526121357467443,0.61277903095206,70.97571353421924,3.2477129536456806e-6,3.963291359528296e-6,7.15578405882615e-7,5.011435910590469e-5,22.03330208352777,28.811528674190974,0.136764
6.0,4.173812476794799,4.1740165508997,0.00020407410490097533,0.00827824680432259,0.004889393235454847,0.21228580352729162,0.9012463427921132,0.9012463071724975,0.901251292511458,0.901252163827227,-3.5619615701421026e-8,0.0004782413234142644,-3.952261885587174e-6,0.05983579227568604,6.168125493071472e-6,6.212185995358286e-6,4.4060502286814045e-8,0.00012526121357467443,0.71432564620007,70.97571353421924,3.836038990929218e-6,4.5711896694308036e-6,7.351506785015852e-7,5.011435910590469e-5,19.16431715735785,28.811528674190974,0.136764
7.000000000000001,4.173696668394801,4.173900474684447,0.00020380628964566938,0.00827824680432259,0.004883112162629993,0.21228580352729162,0.9012300092715809,0.9012299694278741,0.9012355659851924,0.9012366617699226,-3.9843706778341925e-8,0.0004782413234142644,-4.421036402299298e-6,0.05983579227568604,6.6890186661896265e-6,6.741374634359536e-6,5.235596816990979e-8,0.00012526121357467443,0.7827152349648647,70.97571353421924,4.373788247070554e-6,5.112798081375006e-6,7.390098343044515e-7,5.011435910590469e-5,16.89633316837916,28.811528674190974,0.136764
8.0,4.173588798307205,4.173794339630843,0.0002055413236377035,0.00827824680432259,0.00492481012315038,0.21228580352729162,0.9012148182518833,0.9012147747846431,0.9012209667361711,0.9012222715725887,-4.3467240251615635e-8,0.0004782413234142644,-4.82318303819399e-6,0.05983579227568604,7.151697295147206e-6,7.211001025261169e-6,5.930373011396255e-8,0.00012526121357467443,0.8292259538753572,70.97571353421924,4.86852580201357e-6,5.607050023996603e-6,7.385242219830329e-7,5.011435910590469e-5,15.169360336502422,28.811528674190974,0.136764
9.0,4.173487791233505,4.173693931299861,0.00020614006635621962,0.00827824680432259,0.0049392756530693815,0.21228580352729162,0.9012005197966663,0.9012004731216221,0.9012072522225008,0.9012087503443413,-4.667504416300261e-8,0.0004782413234142644,-5.179207416961287e-6,0.05983579227568604,7.568930323934081e-6,7.634038879695555e-6,6.510855576147355e-8,0.00012526121357467443,0.8602081532656024,70.97571353421924,5.325520808766636e-6,6.062734769077572e-6,7.372139603109358e-7,5.011435910590469e-5,13.843039709794521,28.811528674190974,0.136764
