Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
0.0,4.179412947771795,29865.273928931867,12637.365786565953
1.0,4.179408296095822,29865.255232734446,12914.00779385681
2.0,4.179401381473334,29865.230792548322,13273.48133600702
3.0,4.179385921310895,29865.181875803537,13990.799701755092
4.0,4.179360469550131,29865.117939076346,14922.184737370577
5.0,4.179318095239791,29865.03750471642,16088.30137073773
6.0,4.179247906762067,29864.942419058603,17464.406214443075
7.0,4.179131395140371,29864.830783718982,19090.02970649787
8.0,4.178940077190489,29864.69776799133,21061.309197856455
9.0,4.178632418701232,29864.532809739485,23578.49121182321
10.0,4.178151540271645,29864.317759136226,26979.35132848382
11.0,4.177424176753495,29864.02434944604,31782.150402023795
12.0,4.1763619618881584,29863.612000771776,38721.41941184609
13.0,4.1748658571217945,29863.026153259474,48771.83923877949
14.0,4.172834305457571,29862.197845844166,63147.37241692296
15.0,4.170175095164121,29861.045156901666,83264.65367627716
16.0,4.16682016523563,29859.47710115699,110660.8363112506
17.0,4.162741751983529,29857.40030621879,146861.69258020225
18.0,4.157967567241629,29854.72839524244,193203.71162144947
19.0,4.152592293008873,29851.39348340811,250623.86811350603
20.0,4.146782726595431,29847.358664272546,319440.529820018
21.0,4.140774476047193,29842.629924097542,399156.52621593035
22.0,4.134859142800041,29837.26569033227,488318.5733277588
23.0,4.129362293840456,29831.382268673,584464.6667671093
24.0,4.12461400904435,29825.153772191425,684182.4180574665
25.0,4.120915150001602,29818.80575430342,783287.569326943
26.0,4.118503507016702,29812.60253101607,877115.1200314095
27.0,4.117524455260659,29806.82899673686,960898.3401663273
28.0,4.118010559202566,29801.768483318738,1.0301962416061884e6
29.0,4.119873649009745,29797.678786739823,1.0813202906473835e6
30.0,4.12291129661012,29794.768824672337,1.1117080092644324e6
31.0,4.126827504972585,29793.1784590873,1.1201953918819218e6
32.0,4.131265097091637,29792.96380689948,1.1071515193601649e6
33.0,4.1358451816017405,29794.08986955036,1.074456124940771e6
34.0,4.140207660009736,29796.431566140713,1.0253218322881002e6
35.0,4.14404642982536,29799.78331712938,963984.1273707396
36.0,4.147133926527584,29803.876298428455,895300.2506587974
37.0,4.1493317991944885,29808.40151880409,824309.6970438093
38.0,4.15058734829773,29813.036136603398,755811.5268938944
100.0,4.150918162524244,29817.470059666368,694006.8717501119
100.99999999999999,4.150389458122255,29821.429918746806,642240.9009982813
101.99999999999999,4.149089440063821,29824.697936663513,602860.8716958112
102.99999999999997,4.147107481483832,29827.12391299077,577190.1319711278
103.99999999999997,4.14451841276788,29828.62934973379,565605.6843523213
104.99999999999996,4.141374361227307,29829.203541170667,567700.3428504575
105.99999999999996,4.137704013647804,29828.89222497363,582507.7853281815
106.99999999999996,4.133518286654125,29827.78018331076,608766.4480992444
107.99999999999994,4.128821161094594,29825.97002768465,645193.3187858252
108.99999999999994,4.123624473215156,29823.56025920984,690730.6591818408
109.99999999999993,4.117965235693604,29820.626378702513,744720.5990187887
110.99999999999993,4.111923313378556,29817.20896695311,806961.1840172468
111.99999999999991,4.105636114181737,29813.311905701063,877609.8372259575
112.99999999999993,4.099305930785503,29808.912118031694,956929.0929492041
113.99999999999993,4.093195460385618,29803.979558401876,1.0449113572501648e6
114.99999999999994,4.087608483981372,29798.503240469447,1.140864011286515e6
200.0,4.082855731692367,29792.516760120943,1.2430675751989356e6
201.0,4.0792099669464985,29786.11595289351,1.3486229412358429e6
