Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
0.0,4.179466830791142,29865.27792447098,12566.75356592155
1.0,4.179462076002816,29865.25941561398,12840.353878597212
2.0,4.17945507047089,29865.235222258023,13195.841939406939
3.0,4.1794395122532375,29865.186801092503,13905.184773223775
4.0,4.179414203861349,29865.1235164796,14826.15327581725
5.0,4.179372543342465,29865.04390465533,15979.231301432621
6.0,4.17930423286239,29864.949788334878,17340.09545678061
7.0,4.1791916826093685,29864.83927525607,18948.170550374918
8.0,4.17900779647108,29864.70756173266,20899.078108062306
9.0,4.178713012077513,29864.54416244153,23391.623267708008
10.0,4.178253104732285,29864.33107851135,26760.767359262863
11.0,4.177558170210652,29864.040305825765,31519.91511338132
12.0,4.176543818108007,29863.631681918923,38395.94268374641
13.0,4.175115350971959,29863.05126719656,48352.25907020168
14.0,4.173175487414861,29862.230969058484,62587.2020568415
15.0,4.170635620754508,29861.09001586333,82496.95424085096
16.0,4.167429892754929,29859.538862417867,109593.40751029128
17.0,4.163530571814693,29857.485836836015,145373.01133140415
18.0,4.158962550815272,29854.846443153558,191140.5456704381
19.0,4.153814390851307,29851.554719945758,247801.58733966295
20.0,4.148243377336327,29847.575531326427,315647.07594612555
21.0,4.142472583265912,29842.916238857077,394160.7443111404
22.0,4.136778909342861,29837.635981878637,481883.151506166
23.0,4.1314723580938395,29831.85085176881,576363.3108534392
24.0,4.126868201881732,29825.733601228236,674220.1837190761
25.0,4.1232549964658745,29819.50713963702,771322.5937823524
26.0,4.120862358065139,29813.43183505399,863079.45920228
27.0,4.119832886492419,29807.787452266122,944815.3351418345
28.0,4.12020245498408,29802.851286548444,1.0121918896032221e6
29.0,4.121892241417,29798.874608738242,1.0616265123219257e6
30.0,4.124714382548201,29796.059855709038,1.0906564629657532e6
31.0,4.1283911435146425,29794.541051441756,1.0982015123762111e6
32.0,4.132585297199783,29794.369716010715,1.084689638660134e6
33.0,4.1369374121204725,29795.508016730233,1.0520277204459622e6
34.0,4.1411044124297645,29797.830166761465,1.003419983675473e6
35.0,4.144793486975576,29801.132146097498,943058.0020662748
36.0,4.147786369514225,29805.14881298402,875723.7219158435
37.0,4.149951044775098,29809.576544253614,806357.8440759277
38.0,4.151240569298672,29814.098861588813,739647.6036358653
100.0,4.151681226044195,29818.41219991505,679680.2484902764
100.99999999999999,4.151353945391843,29822.249103838596,629693.4443889286
101.99999999999999,4.150373360517095,29825.396642090986,591935.5445761483
102.99999999999997,4.148868017445279,29827.708548084232,567632.1869477241
103.99999999999997,4.146963613696995,29829.1103315263,557045.1003460677
104.99999999999996,4.144769478933336,29829.597219220996,559605.7452935914
105.99999999999996,4.142367616594706,29829.225243284065,574108.6068690658
106.99999999999996,4.139803894277182,29828.09620530741,598951.9468090563
107.99999999999994,4.1370822161424,29826.337779785816,632412.3186133424
108.99999999999994,4.134163979921064,29824.080787197327,672930.3204328564
109.99999999999993,4.130975812364326,29821.436601410096,719370.4730226932
110.99999999999993,4.1274276629696445,29818.478479545727,771203.96688007
111.99999999999991,4.123440684126817,29815.230852087192,828558.7701619195
112.99999999999993,4.118980606353919,29811.66983865925,892095.6539504671
