Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (mol/m³),Average Concentration (sP2D) (mol/m³),First Position Concentration (P2D) (mol/m³),First Position Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (Pa),Negative Stress (sP2D) (Pa),Negative Stress Error (Pa),average Negative Stress Error (Pa),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (Pa),Positive Stress (sP2D) (Pa),Positive Stress Error (Pa),average Positive Stress Error (Pa),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
0.0,4.180342177569225,4.180367096014283,2.491844505847496e-5,0.002684099368845545,0.0005960862532302195,0.06590568279918213,29866.0,29866.0,29866.0,29866.0,0.0,0.4932244175006447,0.0,0.001688253410308909,-5.942940940055923,-5.942940940055923,0.0,33331.45454141086,-0.0,2.8065960463293687,17.41649343659723,17.41649343659723,0.0,3.241718321752391e6,0.0,17.117788423354423,0.012859
1.0,4.180342176890543,4.180367095359443,2.4918468900736457e-5,0.002684099368845545,0.0005960868236693372,0.06590568279918213,29865.9999910309,29865.99999102949,29865.999991315017,29865.9999913199,-1.4115357771515846e-9,0.4932244175006447,-4.72622975147487e-12,0.001688253410308909,-5.7497236971494035,-5.749554764574967,-0.00016893257443673093,33331.45454141086,0.002938098999791664,2.8065960463293687,18.760648637945458,19.16124031584587,0.4005916779004117,3.241718321752391e6,2.135276266995222,17.117788423354423,0.012859
2.0,4.180324436376905,4.18034571741905,2.12810421453824e-5,0.002684099368845545,0.0005090763281480306,0.06590568279918213,29865.81862998197,29865.818601419996,29865.824375054475,29865.824473879235,-2.8561975341290236e-5,0.4932244175006447,-9.563432931524327e-8,0.001688253410308909,3771.455362402615,3774.756373327252,3.301010924637012,33331.45454141086,0.087526183063031,2.8065960463293687,35083.97411615454,45534.6193201453,10450.64520399076,3.241718321752391e6,29.7875182822539,17.117788423354423,0.012859
3.0,4.180308631220202,4.180328660882661,2.0029662459286612e-5,0.002684099368845545,0.00047914315009416183,0.06590568279918213,29865.721405720673,29865.72135476078,29865.73025090806,29865.730722169705,-5.0959893997060135e-5,0.4932244175006447,-1.70630045411523e-7,0.001688253410308909,5579.101406321523,5592.673740626095,13.572334304571996,33331.45454141086,0.2432709735154404,2.8065960463293687,65426.40955826852,83935.13399745042,18508.724439181904,3.241718321752391e6,28.28937819474581,17.117788423354423,0.012859
4.0,4.180294400039293,4.180313851439041,1.9451399747794085e-5,0.002684099368845545,0.0004653117193758231,0.06590568279918213,29865.647634505163,29865.647559362278,29865.658891677616,29865.660088505283,-7.514288517995737e-5,0.4932244175006447,-2.516030661700479e-7,0.001688253410308909,6843.179385465214,6874.796591062149,31.617205596934582,33331.45454141086,0.46202508828117145,2.8065960463293687,91514.49309001742,114687.45551134026,23172.962421322838,3.241718321752391e6,25.321631185269155,17.117788423354423,0.012859
5.0,4.180281455064827,4.180300657314241,1.9202249414540518e-5,0.002684099368845545,0.00045935302732487263,0.06590568279918213,29865.585084489932,29865.58498981089,29865.598466230273,29865.600425219513,-9.467904237681068e-5,0.4932244175006447,-3.1701720260615375e-7,0.001688253410308909,7847.8840296159715,7895.81522913072,47.93119951474819,33331.45454141086,0.6107531575883093,2.8065960463293687,114508.12823867385,139722.5314271513,25214.403188477445,3.241718321752391e6,22.019749668706538,17.117788423354423,0.012859
6.0,4.180231865716922,4.18025262628804,2.076057111821683e-5,0.002684099368845545,0.0004966368322407957,0.06590568279918213,29865.529423467666,29865.529312800718,29865.544780402008,29865.547478247947,-0.00011066694787587039,0.4932244175006447,-3.705507654215926e-7,0.001688253410308909,8693.436433377261,8755.346567458662,61.91013408140134,33331.45454141086,0.7121480044842318,2.8065960463293687,135240.7817105679,161134.96862452143,25894.186913953512,3.241718321752391e6,19.146729696793894,17.117788423354423,0.013668
7.0,4.179761090240581,4.179800810961581,3.972072099944768e-5,0.002684099368845545,0.0009503107986768069,0.06590568279918213,29865.472834736483,29865.472709984242,29865.490266153633,29865.493661821005,-0.00012475224139052443,0.4932244175006447,-4.177139336813891e-7,0.001688253410308909,9547.621573680992,9621.30211722296,73.68054354196829,33331.45454141086,0.7717162119734232,2.8065960463293687,155293.01119231136,181642.22468646648,26349.21349415512,3.241718321752391e6,16.967417459324587,17.117788423354423,0.023524
8.0,4.17938260444788,4.179435931913486,5.332746560604562e-5,0.002684099368845545,0.0012759651521086447,0.06590568279918213,29865.34724132486,29865.347092725846,29865.36900249667,29865.373097561845,-0.00014859901421004906,0.4932244175006447,-4.975633231695084e-7,0.001688253410308909,11824.173313462263,11909.303026757401,85.12971329513857,33331.45454141086,0.7199633415235484,2.8065960463293687,188222.4027112719,219133.40328582583,30911.00057455394,3.241718321752391e6,16.422593766359782,17.117788423354423,0.03126
9.0,4.1784530732397585,4.1785409128871684,8.783964740999295e-5,0.002684099368845545,0.00210220495169727,0.06590568279918213,29865.13599793236,29865.135809759748,29865.164878876516,29865.16981652046,-0.00018817261297954246,0.4932244175006447,-6.300745223211779e-7,0.001688253410308909,15786.508317286365,15886.861361995949,100.35304470958363,33331.45454141086,0.6356886696705196,2.8065960463293687,241716.39493422734,283211.6191388264,41495.22420459904,3.241718321752391e6,17.166905131069065,17.117788423354423,0.050602
