Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
0.0,4.180342177569225,4.180367096014283,2.491844505847496e-5,0.002684099368845545,0.0005960862532302195,0.06590568279918213,29866.0,29866.0,0.0,5.68281815330454,0.0,0.01936401468212504,-5.942940940055923,-5.942940940055923,0.0,23089.41289734932,-0.0,2.3697974633638563,0.012859
1.0,4.180342176890543,4.180367095359443,2.4918468900736457e-5,0.002684099368845545,0.0005960868236693372,0.06590568279918213,29865.999991315017,29865.999991311604,-3.4124241210520267e-9,5.68281815330454,-1.1425782234126946e-11,0.01936401468212504,-5.766328286780287,-5.766258889213546,-6.939756674118058e-5,23089.41289734932,0.001203496632341925,2.3697974633638563,0.012859
2.0,4.180324436376905,4.18034571741905,2.12810421453824e-5,0.002684099368845545,0.0005090763281480306,0.06590568279918213,29865.824375054475,29865.824306095135,-6.895933984196745e-5,5.68281815330454,-2.308971584911815e-7,0.01936401468212504,3446.8351613908562,3448.1908985706777,1.3557371798215172,23089.41289734932,0.039332811589239285,2.3697974633638563,0.012859
3.0,4.180308631220202,4.180328660882661,2.0029662459286612e-5,0.002684099368845545,0.00047914315009416183,0.06590568279918213,29865.73025090806,29865.730454524084,0.00020361602582852356,5.68281815330454,6.817714622006695e-7,0.01936401468212504,5094.996580305789,5090.914049090562,-4.082531215227391,23089.41289734932,-0.08012824249986772,2.3697974633638563,0.012859
4.0,4.180294400039293,4.180313851439041,1.9451399747794085e-5,0.002684099368845545,0.0004653117193758231,0.06590568279918213,29865.658891677616,29865.659730504125,0.0008388265086978208,5.68281815330454,2.808665670964215e-6,0.01936401468212504,6239.191309732831,6222.875541208462,-16.31576852436865,23089.41289734932,-0.26150453984183586,2.3697974633638563,0.012859
5.0,4.180281455064827,4.180300657314241,1.9202249414540518e-5,0.002684099368845545,0.00045935302732487263,0.06590568279918213,29865.598466230273,29865.59998414592,0.0015179156471276656,5.68281815330454,5.08248863267886e-6,0.01936401468212504,7141.486884569213,7112.736995749602,-28.749888819610533,23089.41289734932,-0.402575672045707,2.3697974633638563,0.012859
6.0,4.180231865716922,4.18025262628804,2.076057111821683e-5,0.002684099368845545,0.0004966368322407957,0.06590568279918213,29865.544780402008,29865.546959122592,0.0021787205841974355,5.68281815330454,7.295097411473064e-6,0.01936401468212504,7894.8197336609655,7854.553645509776,-40.26608815118925,23089.41289734932,-0.5100317614537496,2.3697974633638563,0.013668
7.0,4.179761090240581,4.179800810961581,3.972072099944768e-5,0.002684099368845545,0.0009503107986768069,0.06590568279918213,29865.490266153633,29865.493063018777,0.0027968651447736192,5.68281815330454,9.36487270039323e-6,0.01936401468212504,8653.10618465059,8602.601529504042,-50.50465514654934,23089.41289734932,-0.5836592556339779,2.3697974633638563,0.023524
8.0,4.17938260444788,4.179435931913486,5.332746560604562e-5,0.002684099368845545,0.0012759651521086447,0.06590568279918213,29865.36900249667,29865.3723542592,0.003351762530655833,5.68281815330454,1.1222906806795637e-5,0.01936401468212504,10708.963032150525,10649.795696388914,-59.16733576161096,23089.41289734932,-0.5525029415451185,2.3697974633638563,0.03126
9.0,4.1784530732397585,4.1785409128871684,8.783964740999295e-5,0.002684099368845545,0.00210220495169727,0.06590568279918213,29865.164878876516,29865.168844371692,0.003965495176089462,5.68281815330454,1.3277995256923016e-5,0.01936401468212504,14301.726506118921,14232.970341664477,-68.75616445444393,23089.41289734932,-0.4807542951197323,2.3697974633638563,0.050602
