Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
0.0,4.180342177569225,4.180368532393318,2.63548240937439e-5,0.0006304465752865389,29866.0,29866.0,0.0,0.0,-5.942940940055923,-5.942940940055923,0.0,-0.0,0.012859
1.0,4.180342176890543,4.180368531789036,2.6354898492897405e-5,0.0006304483551272573,29865.999991315017,29865.999991323788,8.77116690389812e-9,2.9368401883241013e-11,-5.766328286780287,-5.766506830754811,0.00017854397452410353,-0.003096319974244757,0.012859
2.0,4.180324436376905,4.1803483218776805,2.3885500775477908e-5,0.00057137911516216,29865.824375054475,29865.82455264874,0.0001775942655513063,5.946404268674481e-7,3446.8351613908562,3443.343666200492,-3.491495190364276,-0.10129568218038597,0.012859
3.0,4.180308631220202,4.180331404802414,2.2773582212032295e-5,0.0005447823168354164,29865.73025090806,29865.730827259926,0.0005763518674939405,1.9298100620741285e-6,5094.996580305789,5083.870102558852,-11.12647774693778,-0.21838047526756132,0.012859
4.0,4.180294400039293,4.1803164221622175,2.2022122924347798e-5,0.0005268079426209981,29865.658891677616,29865.660172715627,0.0012810380103474017,4.289334499512337e-6,6239.191309732831,6214.822060698287,-24.369249034543827,-0.3905834558483405,0.012859
5.0,4.180281455064827,4.1803028030099005,2.134794507391291e-5,0.0005106820031949704,29865.598466230273,29865.60046844182,0.0020022115459141787,6.7040730765135206e-6,7141.486884569213,7104.216708597022,-37.27017597219037,-0.521882579560861,0.012859
6.0,4.180231865716922,4.180254506219093,2.264050217082314e-5,0.0005416087647315283,29865.544780402008,29865.54749555727,0.002715155264013447,9.091263139439371e-6,7894.8197336609655,7845.352774546761,-49.466959114204656,-0.6265749033292489,0.013668
7.0,4.179761090240581,4.179803480785615,4.239054503329953e-5,0.0010141858378527465,29865.490266153633,29865.493674216836,0.0034080632030963898,1.1411375379157011e-5,8653.10618465059,8592.282462145788,-60.8237225048033,-0.7029120087847315,0.023524
8.0,4.17938260444788,4.179439667754533,5.7063306653226675e-5,0.0013653525425620864,29865.36900249667,29865.373150499472,0.004148002801230177,1.3889005693796766e-5,10708.963032150525,10636.225973941591,-72.73705820893338,-0.679216633679299,0.03126
9.0,4.1784530732397585,4.17854739533488,9.432209512194589e-5,0.002257344846733276,29865.164878876516,29865.16995015725,0.005071280735137407,1.6980588440428464e-5,14301.726506118921,14213.859419161909,-87.86708695701236,-0.6143809764465771,0.050602
10.0,4.154340345868195,4.155515115189668,0.0011747693214729793,0.028278119356334782,29864.843619701838,29864.850039870893,0.006420169054763392,2.149741393766417e-5,20029.611271051148,19918.803441371267,-110.80782967988125,-0.5532200709258502,0.58049
11.0,4.084301034350091,4.089548834711566,0.005247800361475541,0.12848710996912574,29860.89024208104,29860.902844956283,0.012602875242009759,4.220528972793093e-5,96897.44297860298,96669.62368031622,-227.8192982867622,-0.23511383921355858,2.6467
12.0,4.05448757809754,4.061759360206024,0.007271782108484004,0.17935144622877583,29841.615509598872,29841.707391160133,0.09188156126037939,0.0003078974100139609,470586.2161099958,468810.6688050174,-1775.5473049783614,-0.37730542123727256,3.8424
13.0,4.0451790995151775,4.052501408661988,0.007322309146810646,0.18101322504331735,29810.015390311153,29810.417083177876,0.401692866722442,0.0013475097595991184,1.0656559339761867e6,1.057889368479734e6,-7766.565496452618,-0.7288061041872987,4.1121
14.0,4.180175199450576,4.178445415687262,-0.0017297837633138968,-0.041380652264078596,29781.652542398035,29782.6523186334,0.9997762353668804,0.003357020682259219,1.5670801913104106e6,1.5479870500037316e6,-19093.141306678997,-1.2183895509975844,-0.23677
15.0,4.059570904427117,4.064891142663213,0.005320238236095953,0.13105420157322611,29787.626005328177,29788.887168936348,1.2611636081710458,0.004233850686675933,1.373592030249342e6,1.3503753757785417e6,-23216.654470800422,-1.6902147041859297,3.1954
16.0,4.0384388073547495,4.04565204217003,0.007213234815280245,0.17861443888028217,29790.077952013475,29791.552370594003,1.474418580528436,0.00494936127023052,1.2717585083828487e6,1.2454316668483391e6,-26326.841534509556,-2.0701132613601634,4.134
17.0,4.064544584698424,4.068842248666689,0.004297663968265475,0.10573543674350784,29760.44367060542,29762.55880480658,2.115134201161709,0.0071071998273024425,1.810918625309208e6,1.7731158094365878e6,-37802.81587262009,-2.0874939019507517,2.8259
18.0,4.068873934190687,4.072516196039339,0.0036422618486513514,0.08951522970631945,29745.0274566251,29747.593876197647,2.566419572547602,0.008628062543529387,2.040961381494616e6,1.9959552038354797e6,-45006.17765913624,-2.205145970286698,2.5489
19.0,4.063509086924281,4.067514168325974,0.004005081401692756,0.09856213720748071,29741.40678003897,29744.23452482288,2.8277447839100205,0.009507770781736757,2.0337240395616207e6,1.9854584565610522e6,-48265.58300056844,-2.373261173181211,2.6931
20.0,4.072138266988458,4.075422487611748,0.003284220623290146,0.0806510095669955,29735.460142154643,29738.570052181967,3.1099100273240765,0.010458590559744844,2.080128038503464e6,2.0281745866095962e6,-51953.451893867925,-2.4976083650718697,2.3144
21.0,4.041566043221377,4.047201671918881,0.00563562869750367,0.1394417074281366,29730.240980895178,29733.559846622313,3.3188657271348347,0.011163265475269968,2.1141695708079184e6,2.060015650093861e6,-54153.920714057516,-2.5614747966201636,3.5036
22.0,4.058960157504029,4.062986624117132,0.004026466613102464,0.09919946136102142,29719.35149112896,29723.027052869627,3.6755617406670353,0.012367570475971415,2.2615973428362417e6,2.2023128619847586e6,-59284.480851483066,-2.6213543732384794,2.7033
23.0,4.107939622534316,4.108619289591332,0.0006796670570166086,0.01654520561325341,29708.228633191393,29712.26459702551,4.035963834117865,0.013585339886635657,2.4082464908903837e6,2.34392918454789e6,-64317.30634249374,-2.670711099789215,1.057
24.0,4.171568468956489,4.169355665658214,-0.0022128032982751122,-0.05304487544054721,29714.391618362537,29718.370874542547,3.9792561800095427,0.01339167979986671,2.210631982209712e6,2.1496268908687886e6,-61005.091340923216,-2.7596222180746484,-0.44999
25.0,4.173042772188204,4.171254589531459,-0.0017881826567451853,-0.04285081065218803,29734.970988711713,29738.71950442751,3.7485157157971116,0.012606421298410416,1.74570886745016e6,1.6910857729313748e6,-54623.09451878513,-3.128992212691766,-0.4451
26.0,4.226779053096286,4.222480697055836,-0.004298356040449924,-0.1016934168182083,29754.569654048686,29758.112753611393,3.5430995627066295,0.011907749310111505,1.3280557094287588e6,1.2788773185161343e6,-49178.39091262454,-3.703036744880063,-1.8319
27.0,4.188866416590946,4.187259074308774,-0.001607342282171409,-0.03837177227244987,29775.511540050884,29778.87787771948,3.366337668594497,0.01130572572721867,904166.0242175119,859566.8887065314,-44599.1355109805,-4.93262678716309,-0.6912
28.0,4.1800147068486035,4.179216139512776,-0.0007985673358277268,-0.019104414501684437,29790.833240042313,29793.99004754381,3.156807501498406,0.010596573368935828,609035.1309905774,569444.4630025871,-39590.66798799031,-6.500555710734991,-0.41631
29.0,4.145329891848719,4.146236582392799,0.0009066905440802131,0.021872578726800696,29792.854927969674,29795.759942036784,2.9050140671097324,0.009750707255592654,584479.8137265964,550503.6770190385,-33976.13670755795,-5.813055628205331,0.39479
30.0,4.106049717945901,4.108970118391895,0.0029204004459941757,0.07112433230484945,29789.966715781247,29792.663009635424,2.6962938541764743,0.009051013315661448,650015.3224787676,620565.1075038251,-29450.2149749425,-4.5306955015517305,1.4094
31.0,4.166099594630626,4.1658317168554,-0.00026787777522585543,-0.006429941703052493,29778.155062273334,29780.696334199387,2.541271926053014,0.008534014013758067,882294.1516848379,856157.1060537711,-26137.04563106678,-2.9623958836353173,-0.067283
