Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
0.0,4.168394257671314,4.1689488002320525,0.0005545425607387244,0.013303505533771687,29866.0,29866.0,0.0,0.0,-5.942940940055923,-5.942940940055923,0.0,-0.0,0.2706705664732254
1.0,4.1381271453123345,4.140116081956507,0.0019889366441727674,0.0480636909966827,29865.99981729741,29865.999817487118,1.8970968085341156e-7,6.352028460923579e-10,-2.227607482080872,-2.23146540033335,0.003857918252478054,-0.17318662661674408,0.9745239627156022
2.0,4.10663971059858,4.110266871679929,0.003627161081348973,0.08832430738902783,29857.54428832235,29857.5551650313,0.010876708947762381,3.642867893866407e-5,166233.1067940345,166019.2709766695,-213.8358173650049,-0.12863611917567716,1.8500994221752898
3.0,4.165712021303058,4.165938132073247,0.00022611077018908077,0.005427902097715148,29842.486740196495,29842.553475049644,0.06673485314968275,0.0002236236334145502,452523.91625171236,451224.43762990204,-1299.4786218103254,-0.2871624184140363,0.2715208975414207
4.0,4.134383953029881,4.1360117546285435,0.0016278015986621597,0.039372289007391925,29838.164238461894,29838.29854728289,0.13430882099783048,0.00045012427683035594,512923.84762674686,510369.5065835455,-2554.3410432013916,-0.4979961557685612,0.9775822703845946
5.0,4.103258403900899,4.106688515240999,0.0034301113401005168,0.08359481666666588,29839.270160120734,29839.467214894725,0.1970547739911126,0.0006603873785575032,467401.0247162207,463746.32406177244,-3654.700654448243,-0.7819196923385372,1.855899367866811
6.0,4.162585349499624,4.162655506578609,7.015707898538892e-5,0.001685420792484708,29827.51701388603,29827.820612878128,0.3035989920972497,0.0010178486930571893,680424.9901534193,674851.3137769297,-5573.676376489573,-0.8191463360616494,0.2723711950400015
7.0,4.13154787708578,4.133065909949986,0.0015180328642054874,0.03674247302384509,29825.01976869296,29825.393945591197,0.37417689823632827,0.0012545738481927117,700359.8401036884,693661.5978100419,-6698.242293646559,-0.9564001117846623,0.9806404170706681
8.0,4.1006287853980865,4.103992357397244,0.0033635719991575996,0.08202576178402031,29827.347779622884,29827.76852249193,0.42074286904608016,0.001410594304779316,627776.0081118172,620454.1054898162,-7321.902622001013,-1.1663240594401407,1.8616989319345516
9.0,4.160120662148042,4.160135681958914,1.5019810871486072e-5,0.0003610426737894358,29816.449571495996,29816.974292809326,0.5247213133297919,0.001759838347190124,821799.6355659168,812727.1915089941,-9072.444056922686,-1.1039727525159,0.2732214254006784
10.0,4.129253585211928,4.130742770447756,0.0014891852358278612,0.03606427178900011,29814.634573713258,29815.22009020221,0.585516488950816,0.001963855996635457,826605.244043017,816705.1217521462,-9900.122290870873,-1.1976844282342425,0.9836982820434248
11.0,4.098455259320414,4.101804798622926,0.0033495393025111397,0.0817268724574669,29817.521862917052,29818.137859444414,0.6159965273618582,0.002065887736056128,741659.1600681687,731536.7423643732,-10122.41770379548,-1.3648341783933593,1.8674978854216577
12.0,4.15806750807894,4.158069584748415,2.076669475492565e-6,4.9943139967248945e-5,29807.046954959464,29807.75701178873,0.7100568292662501,0.002382177712334924,926255.0044010342,914639.4528581252,-11615.551542909001,-1.2540338770337045,0.2740715550578126
13.0,4.127306207491695,4.128790360465773,0.0014841529740783344,0.03595936185651476,29805.61389624287,29806.373736411322,0.7598401684517739,0.002549318967550456,922592.8661803139,910417.3747045621,-12175.49147575174,-1.3197036224830434,0.9867557445835916
14.0,4.096579813750864,4.0999370924780285,0.0033572787271642923,0.08195321169857396,29808.84034471098,29809.618630721467,0.7782860104853171,0.0026109234760063695,830166.9961066956,818045.6058155568,-12121.390291138785,-1.4601146935478637,1.8732959993953646
15.0,4.156289497869094,4.156288789701712,-7.081673816244916e-7,-1.703845177261028e-5,29798.620876547604,29799.48274764944,0.8618711018352769,0.0028923187600054167,1.009056289387999e6,995676.2187995311,-13380.070588467875,-1.3259984333067287,0.2749215504497409
16.0,4.1255944415326296,4.127085729318642,0.0014912877860124851,0.03614722210694278,29797.438664711794,29798.340992170393,0.9023274585997569,0.003028204768715091,999831.4758908352,986095.204874073,-13736.271016762126,-1.373858629977948,0.9898126839877828
