Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
0.0,4.179525193496739,4.179587482378634,6.228888189507842e-5,0.0014903339257769932,29866.0,29866.0,0.0,0.0,-5.942940940055923,-5.942940940055923,0.0,-0.0,0.030392
1.0,4.179525191895803,4.179587480953534,6.22890577304247e-5,0.0014903381334129685,29865.999979473316,29865.999979494078,2.0761945052072406e-8,6.951699278893035e-11,-5.525522314101609,-5.525944564085158,0.00042224998354889465,-0.007641811208892892,0.030392
2.0,4.179483333652704,4.179539786574815,5.645292211120534e-5,0.0013507153302096723,29865.58491639724,29865.585336252305,0.00041985506322816946,1.405815638312359e-6,8154.581009441593,8146.326678526335,-8.254330915257924,-0.10122323765869562,0.030392
3.0,4.179446031000501,4.179499856308454,5.3825307952948265e-5,0.00128785747091136,29865.362457388608,29865.363819975708,0.0013625870997202583,4.562432823858657e-6,12049.950716309622,12023.645953336883,-26.3047629727389,-0.2182976809783576,0.030392
4.0,4.179412443113806,4.179464492865178,5.204975137207413e-5,0.0012453844189949167,29865.19380217773,29865.196830851684,0.003028673952940153,1.0141149503336912e-5,14754.219292746722,14696.604604710503,-57.61468803621938,-0.39049635153886564,0.030392
5.0,4.179381892249167,4.179432349192957,5.04569437893565e-5,0.0012072824424810508,29865.050987486295,29865.0557214096,0.004733923306048382,1.5851047125390597e-5,16886.78955978331,16798.66961334338,-88.11994643992875,-0.521827705189094,0.030392
6.0,4.179353822340646,4.179403415969984,4.9593629338318124e-5,0.0011866339019495418,29864.92410045768,29864.930520359085,0.006419901405024575,2.149645980491941e-5,18667.31409156237,18550.350234899233,-116.96385666313654,-0.6265703576284937,0.030392
7.0,4.179327841406451,4.179376554506871,4.871310042009469e-5,0.0011655726056585569,29864.808311137815,29864.816356575364,0.008045437549299095,2.693952516111955e-5,20202.87029701415,20059.305936959674,-143.5643600544754,-0.7106136798576252,0.030392
8.0,4.179303632663974,4.179352053428388,4.842076441402554e-5,0.0011585845076099712,29864.70083015173,29864.71042146918,0.009591317448212067,3.21158999809185e-5,21555.327833274718,21387.58446303491,-167.74337023980843,-0.7781991140996003,0.030392
9.0,4.179280956430859,4.179328880990013,4.7924559154033375e-5,0.0011467178123138518,29864.59987128269,29864.61091441411,0.011043131416954566,3.6977329227750546e-5,22764.320852949288,22574.93372886809,-189.38712408119682,-0.8319471742846231,0.030392
10.0,4.179259603509648,4.1793075060944656,4.790258481790488e-5,0.001146197876238111,29864.50420681267,29864.516604343913,0.012397531241731485,4.151259688049122e-5,23857.09426454501,23648.514984688365,-208.57927985664355,-0.8742861873443727,0.030392
11.0,4.179239411094458,4.179287005910956,4.759481649774244e-5,0.001138839195749217,29864.41294889099,29864.426604461347,0.01365557035751408,4.5725226144186365e-5,24853.348210604858,24627.882046232928,-225.46616437193006,-0.9071862771219061,0.030392
12.0,4.179220232981719,4.179267927817759,4.7694836039724464e-5,0.0011412376802573039,29864.325430125624,29864.34025168969,0.014821564065641724,4.962966299145159e-5,25767.885490312405,25527.648105744964,-240.23738456744104,-0.9323131486972798,0.030392
13.0,4.179201956004327,4.17924944181006,4.748580573288308e-5,0.0011362409912892449,29864.241133510084,29864.25703531633,0.01590180624407367,5.32469791312747e-5,26612.166547104418,26359.06383011632,-253.1027169880981,-0.9510789605953274,0.030392
14.0,4.179184476149238,4.179232111779469,4.763563023146844e-5,0.0011398307613202233,29864.159648613953,29864.176550770473,0.01690215651979088,5.659679267276934e-5,27395.282111978006,27131.03518192914,-264.2469300488665,-0.9645709395098002,0.030392
15.0,4.1791677136427055,4.179215192118174,4.74784754684876e-5,0.0011360749010741122,29864.080643106903,29864.09847290272,0.01782979581548716,5.9703146494156535e-5,28124.586106692816,27850.717836820142,-273.8682698726734,-0.97376817860975,0.030392
16.0,4.1791515929763206,4.179199232610854,4.763963453324749e-5,0.0011399355460881798,29864.00384330281,29864.022533479256,0.018690176446398254,6.258429561041475e-5,28806.128091938805,28524.00893121758,-282.11916072122403,-0.9793720274408316,0.030392
17.0,4.179136056871755,4.179183564658704,4.750778694884161e-5,0.0011367848833426838,29863.92902065055,29863.948510627313,0.019489976762997685,6.526260074325987e-5,29444.9539186101,29155.78565695879,-289.1682616513099,-0.9820638960774423,0.030392
18.0,4.179121049262861,4.179168709091277,4.765982841625771e-5,0.0011404270863286969,29863.85598190116,29863.876215669297,0.0202337681366771,6.775336764595863e-5,30045.32445199326,29750.190027363293,-295.1344246299668,-0.982297345803457,0.030392
19.0,4.179106528204583,4.17915406630285,4.753809826674171e-5,0.0011375182217995506,29863.784561960776,29863.80548928964,0.02092732886376325,7.007594372489411e-5,30610.87478558713,30310.71935300724,-300.15543257988975,-0.9805516329811501,0.030392
20.0,4.179092451111648,4.179140121785603,4.767067395494706e-5,0.0011406944094349135,29863.71461843042,29863.73619275862,0.021574328202405013,7.224261441706383e-5,31144.7357318065,30840.414082202435,-304.3216496040659,-0.9771206672762935,0.030392
21.0,4.162875854881344,4.163644185172488,0.0007683302911436485,0.018456718814775907,29863.646027508996,29863.66820712549,0.0221796164951229,7.426962024225734e-5,31649.625144699992,31341.881302661543,-307.74384203844966,-0.9723459302644665,0.3823
22.0,4.132538646828346,4.134736780965084,0.0021981341367380836,0.05319089123159476,29861.17826330669,29861.203644715442,0.025381408751854906,8.499801490768197e-5,79320.12484910146,78957.8241074447,-362.30074165675614,-0.45675765431029863,1.1017
